Date,ADA,ATOM,BCH,BNB,BTC,DASH,EOS,ETC,ETH,LINK,LTC,NEO,TRX,XLM,XMR,XRP,XTZ
11/28/19,0.03901,3.68,217.41,15.5333,7419.49,52.28,2.6237,3.9389,150.72,2.2702,46.79,9.264,0.0158,0.05787,53.81,0.22313,1.2725
11/29/19,0.04127,4.012,224,16.2281,7739.68,56.98,2.7921,4.0776,154.57,2.3403,48.54,9.705,0.01614,0.05898,55.77,0.22998,1.3068
11/30/19,0.04032,3.921,217.45,15.7118,7541.89,54.99,2.7479,3.9409,151.37,2.2373,47.21,9.316,0.01548,0.05726,54.86,0.2255,1.3336
12/1/19,0.03956,3.813,214.36,15.4297,7390.89,53.08,2.7737,3.9288,150.73,2.1638,47.45,9.246,0.01591,0.05723,53.38,0.22477,1.2527
12/2/19,0.03793,3.665,213.67,15.1288,7294.28,51.6,2.6736,3.8545,148.65,2.0911,45.45,8.937,0.01521,0.05565,53.88,0.21914,1.2394
12/3/19,0.03775,3.636,211.5,15.2542,7292.71,51.29,2.6944,3.8285,147.17,2.1222,44.75,8.937,0.01519,0.05572,53.35,0.21951,1.2904
12/4/19,0.03712,3.555,207.47,15.1,7194.32,50.22,2.6268,3.7499,145.38,2.029,44.67,8.6,0.01426,0.05467,52.61,0.2139,1.2411
12/5/19,0.03761,3.49,211.5,15.6555,7389,49.96,2.6829,3.7879,148.1,2.0068,44.81,8.731,0.01449,0.05539,53.78,0.22118,1.2887
12/6/19,0.03825,3.652,212.84,15.6666,7527.47,52.5,2.7249,3.887,148.45,2.0943,45.28,8.746,0.01468,0.05538,54.03,0.22546,1.3774
12/7/19,0.03842,3.764,211,15.6067,7488.21,52.39,2.7209,3.8603,147.14,2.044,45.15,8.911,0.01448,0.05541,54.38,0.22699,1.438
12/8/19,0.03872,3.921,212.58,15.6121,7510.11,51.77,2.7401,3.8977,150.44,2.0528,45.56,9.031,0.01461,0.0558,53.68,0.22909,1.5998
12/9/19,0.03723,3.666,208.27,15.3284,7338.64,51.16,2.657,3.7975,147.38,2.0984,44.45,8.721,0.01438,0.05462,54.41,0.22445,1.5497
12/10/19,0.03634,3.58,206.54,14.8088,7224.13,49.89,2.6009,3.7749,145.56,2.2657,44.09,8.535,0.01412,0.05315,52.7,0.22256,1.4754
12/11/19,0.03664,3.823,207.01,14.78,7210,49.67,2.5767,3.7748,143.39,2.1786,43.7,8.537,0.01416,0.0528,52.95,0.22093,1.5725
12/12/19,0.0365,4.102,206.79,14.7238,7198.08,49.84,2.5825,3.8157,144.87,2.1056,43.65,8.644,0.01377,0.05201,52.93,0.21837,1.7583
12/13/19,0.03723,3.967,211.32,14.8555,7258.48,50.69,2.6254,3.8562,144.8,2.0709,44.44,8.894,0.01407,0.0527,52.49,0.22054,1.7685
12/14/19,0.03622,4.259,205.82,14.3888,7064.05,49.52,2.5645,3.7984,141.79,1.9946,43.25,8.804,0.01383,0.0509,51.31,0.21605,1.6768
12/15/19,0.03649,4.494,206.88,14.3949,7118.59,50.8,2.5631,3.8056,142.46,2.0708,43.44,8.914,0.01395,0.05097,50.8,0.21735,1.6715
12/16/19,0.03412,4.053,196.27,13.4544,6891.72,45.97,2.3688,3.6796,132.73,1.9751,39.99,8.362,0.0134,0.04696,49.11,0.2055,1.6657
12/17/19,0.03168,3.64,176.45,12.381,6623.82,41.17,2.1948,3.469,121.88,1.7598,36.92,7.882,0.01245,0.04331,45.04,0.1831,1.543
12/18/19,0.03437,4.265,189,13.6158,7277.83,44.47,2.4597,3.7645,132.78,1.8703,40.79,8.78,0.01336,0.04655,47.76,0.19573,1.5839
12/19/19,0.03303,4.266,185.96,13.3441,7150.3,42.76,2.4507,3.7268,128.1,1.805,39.65,8.585,0.01297,0.04519,47.45,0.1878,1.5008
12/20/19,0.03391,4.31,187.44,13.5,7187.83,43.25,2.4849,4.0541,128.19,1.9182,40.17,8.601,0.01336,0.04619,46.64,0.19521,1.6045
12/21/19,0.03303,4.057,186.21,13.2933,7132.75,42.64,2.4421,4.086,126.99,1.8575,39.67,8.503,0.01352,0.04539,44.97,0.19143,1.4709
12/22/19,0.03436,4.257,196.27,13.7798,7501.44,44.16,2.5344,4.1929,132.09,1.9181,41.82,8.88,0.01489,0.04723,47.34,0.19649,1.464
12/23/19,0.03312,4.298,189.61,13.2998,7317.09,42.91,2.5136,3.9901,127.8,1.8629,40.56,8.558,0.01378,0.04488,47.18,0.18953,1.5155
12/24/19,0.03388,4.389,188.3,13.3369,7255.77,41.64,2.542,3.9346,127.75,1.8435,40.34,8.695,0.01354,0.04501,45.82,0.19077,1.4825
12/25/19,0.03334,4.255,185.34,13.0666,7204.63,40.74,2.4801,4.0403,125.09,1.7826,40.08,8.601,0.01321,0.04436,45.99,0.18852,1.4016
12/26/19,0.03416,4.564,187.79,13.1414,7202,39.89,2.5169,4.49,125.58,1.8539,40.01,8.525,0.01335,0.04468,45.31,0.18923,1.3684
12/27/19,0.0329,4.506,203.21,13.2888,7254.74,39.63,2.5712,4.5117,126.29,1.8751,40.95,8.723,0.01323,0.04584,45.11,0.19003,1.38
12/28/19,0.03365,4.398,206.27,13.6779,7316.14,41.78,2.6283,4.4137,128.11,1.8746,42.83,8.766,0.01348,0.04589,45.43,0.1932,1.3281
12/29/19,0.03412,4.253,212.34,14.104,7388.24,44.54,2.6859,4.6434,134.36,1.8976,43.08,9.201,0.0137,0.04619,46.5,0.19653,1.3114
12/30/19,0.03344,4.166,208.62,13.8597,7246,42.26,2.6263,4.6243,131.59,1.8243,42.38,8.943,0.0133,0.04552,46.17,0.19326,1.3297
12/31/19,0.03285,4.227,204.52,13.7161,7195.23,41.16,2.5833,4.4945,129.16,1.7673,41.3,8.678,0.0133,0.04495,44.69,0.19295,1.3533
1/1/20,0.03348,4.38,204.44,13.7184,7200.85,41.84,2.6039,4.5035,130.77,1.8111,41.62,8.85,0.01322,0.04529,45.82,0.19305,1.37
1/2/20,0.03269,4.096,195.49,13.0105,6965.71,40.04,2.4593,4.2283,127.19,1.7366,39.43,8.462,0.01284,0.04361,45.5,0.1875,1.2428
1/3/20,0.03417,4.237,222.43,13.6474,7344.96,43.92,2.6396,4.5768,134.35,1.804,42.23,8.888,0.01344,0.04566,50.93,0.19338,1.2785
1/4/20,0.03434,4.25,224.47,13.8092,7354.11,46.19,2.6481,4.7598,134.2,1.8242,42.78,9.077,0.01344,0.04565,50.37,0.19305,1.2557
1/5/20,0.0346,4.2,222.79,14.0532,7358.75,51.17,2.6865,4.8784,135.37,1.7957,43.3,9.02,0.01353,0.04544,53.69,0.19453,1.2545
1/6/20,0.03732,4.111,244.25,14.9471,7758,56.57,2.8506,5.0333,144.15,1.9374,45.8,9.757,0.01472,0.05046,58.91,0.2231,1.3047
1/7/20,0.037,4.075,242.3,15.0226,8145.28,54.62,2.8459,4.8344,142.8,2.1033,46.3,9.801,0.01434,0.04839,58.36,0.21335,1.2929
1/8/20,0.03631,3.995,240.19,14.5334,8055.98,52.42,2.7751,4.9521,140.72,2.1892,45.35,9.448,0.01402,0.04768,59.44,0.2075,1.3307
1/9/20,0.03616,4.245,238.01,14.3978,7817.76,50.54,2.7432,5.1848,137.74,2.1886,44.74,9.387,0.01398,0.04718,58.68,0.20373,1.2811
1/10/20,0.03693,4.27,271.83,15.07,8197.02,56.88,2.9866,5.36,144.84,2.2257,49.06,9.862,0.01469,0.04802,58.42,0.21284,1.3064
1/11/20,0.03678,4.264,260.83,14.9177,8020.01,63.46,2.9901,5.5704,142.38,2.2734,49.3,9.696,0.0146,0.04825,58.25,0.21121,1.3041
1/12/20,0.03792,4.253,270.77,15.3366,8184.98,66.19,3.2107,5.5765,146.54,2.2383,51.43,10.271,0.01503,0.04905,59.19,0.21539,1.3072
1/13/20,0.03682,4.245,267.21,15.1736,8110.34,69.43,3.1049,5.4677,143.58,2.1901,49.6,10,0.01464,0.04813,57.72,0.21134,1.2743
1/14/20,0.04161,4.53,348.35,16.6371,8810.01,89.28,3.81,6.7895,165.64,2.3751,58.39,11.204,0.01677,0.0528,62.55,0.23464,1.3248
1/15/20,0.04275,4.573,339.99,17.6655,8821.41,133.6,3.7675,7.9911,166.4,2.3953,58.16,11.412,0.01729,0.0548,68.47,0.23367,1.3453
1/16/20,0.04168,5.097,326.76,17.0333,8720.01,127.45,3.8376,8.414,164.21,2.4925,57.56,11.271,0.01734,0.05367,65.63,0.229,1.4936
1/17/20,0.0449,5.015,368,18.0724,8913.28,113.04,3.9038,9.4792,169.85,2.7006,61.02,11.848,0.01758,0.06072,68.95,0.23921,1.477
1/18/20,0.04489,4.625,339.01,17.8088,8915.96,101.15,3.8049,8.2944,174.14,2.7709,59.32,11.876,0.01766,0.06149,67,0.24357,1.4806
1/19/20,0.042,4.516,339.61,17.388,8701.7,104.92,3.6115,8.5268,166.79,2.6212,57.6,11.245,0.01665,0.06004,65.17,0.23558,1.4267
1/20/20,0.04378,4.505,343.39,17.3235,8642.35,109.91,3.62,8.6347,166.87,2.688,57.19,11.114,0.01661,0.06274,64.96,0.23314,1.5929
1/21/20,0.04602,4.64,343.5,18.1166,8736.03,110.5,3.6527,8.943,169.49,2.6716,57.57,11.226,0.01732,0.06279,65.87,0.23726,1.536
